,respondent_id,h1n1_vaccine,seasonal_vaccine
0,26707,0.922757125864818,0.6117553134210653
1,26708,0.9971706166536717,0.9929541357872441
2,26709,0.8175425038123613,0.04653481130592892
3,26710,0.37263517126837065,0.1322348354702121
4,26711,0.36857567244177925,0.007201360536731719
5,26712,0.2840305549687772,0.3393884637551785
6,26713,0.9686921408065795,0.9114271545719362
7,26714,0.9954751422844117,0.9706389937143182
8,26715,0.9158191148934648,0.16247485708572112
9,26716,0.9930784479658015,0.6913042889972394
10,26717,0.9451371217288871,0.5331232564254574
11,26718,0.6106375882274871,0.016682489424259754
12,26719,0.9784565326104703,0.9063459744245432
13,26720,0.5096142170616033,0.17300414666693384
14,26721,0.9895065976973169,0.9958897570299552
15,26722,0.15207856995017388,0.024087092120939037
16,26723,0.9886718908348096,0.8363769698806907
17,26724,0.7359245941376682,0.14486351635404843
18,26725,0.866553601537736,0.5138924071979507
19,26726,0.9687502967453162,0.6698515174533418
20,26727,0.9608609631512681,0.811863710689848
21,26728,0.999981439364711,0.9967743701403022
22,26729,0.9885935896260515,0.9996851926186634
23,26730,0.03222937146553214,0.01567985766037205
24,26731,0.0682771589146519,0.022856127535184345
25,26732,0.9782950884905035,0.6834623152356514
26,26733,0.9354225597678542,0.3001093542912644
27,26734,0.9858401657832419,0.9978849515565632
28,26735,0.06826770364522104,0.046071352826668834
29,26736,0.9939017324771122,0.9815238216531895
30,26737,0.9833245049508507,0.8672416084423795
31,26738,0.9250853688960079,0.3992891235755237
32,26739,0.919469523309636,0.5484257511571577
33,26740,0.9991735866089885,0.8849547759337062
34,26741,0.9732563152332958,0.23670808926927484
35,26742,0.9604841834001844,0.03903627325775689
36,26743,0.9677153185143466,0.7820561385703837
37,26744,0.848492514083299,0.8290930053121345
38,26745,0.1399576173397658,0.08348459769595364
39,26746,0.9823427828348651,0.999923677821418
40,26747,0.27763706831506807,0.07637444448630516
41,26748,0.7462106254536715,0.9134491825843143
42,26749,0.9964162852898237,0.9937674663065753
43,26750,0.999806060165116,0.9997653549755456
44,26751,0.48772620915329,0.17179844861557403
45,26752,0.017836140701811082,0.011475768121770771
46,26753,0.9987667208468481,0.9910440664231556
47,26754,0.9210521454091823,0.6342410711193947
48,26755,0.9912732575566751,0.5725612652761549
49,26756,0.013423822539666758,0.00023624106079581244
50,26757,0.9945486743593587,0.9591929523368773
